x-dis,y-dis,z-dis,HOMO-1,HOMO,LUMO,LUMO+1,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
6.2,3.0,3.5,-4.6247741091200005,-4.469664955910001,-2.398721435627,-2.2970339612990003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,3.5,-4.650695021940002,-4.366160895250002,-2.4327299127010003,-2.160660735574,1.5765,1.7692,1.9239,2.1416,2.7257,2.9281,3.03,3.0628,3.1302,3.2743,0.0188965977,1.79e-08,7.358e-07,0.044342942999999996,4.3520000000000003e-07,0.0012387952,0.0005249793,1.4381999999999998e-06,0.0005635943,1.986e-07
6.4,0.2,3.5,-4.647856945930001,-4.3690425083800015,-2.4331290936700003,-2.160688762595,1.5795,1.7689,1.9239,2.1393,2.7295,2.9292,3.032,3.0648,3.1326,3.1834,0.0200649918,1.57e-08,7.390999999999999e-07,0.044551505899999996,4.293e-07,0.0012547736999999998,0.0009534078,1.4505000000000001e-06,0.0007618999999999999,4.1130000000000004e-07
6.4,0.4,3.5,-4.63940530251,-4.3775213625,-2.434283643671,-2.1608430472639997,1.5883,1.7674,1.9245,2.1323,2.7402,2.9316,3.0379,3.0706,3.1399,3.1848,0.0233380408,1.3600000000000001e-08,7.464e-07,0.0450791859,4.14e-07,0.0013752941,0.0022384226999999997,1.4843000000000001e-06,0.0011868097999999999,4.0969999999999997e-07
6.4,0.6,3.5,-4.62607750165,-4.3913634455900015,-2.436058869739,-2.1613850844080003,1.6022,1.7635,1.9274,2.1209,2.7569,2.9330000000000003,3.0479,3.0798,3.1524,3.1872,0.028061125299999996,2.28e-08,7.452e-07,0.045726978200000004,3.89e-07,0.0018280248000000002,0.004226288,1.5287999999999999e-06,0.001492117,4.102e-07
6.4,0.8,3.5,-4.60854564764,-4.40973338916,-2.4381551820669998,-2.1626710620900003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,1.0,3.5,-4.588132180500001,-4.43177133509,-2.440249861753,-2.165220160466,1.6414,1.7441,1.9445,2.0854,2.8006,2.9248,3.0766,3.1037,3.1889,3.1952,0.0380335492,1.024e-07,6.908e-07,0.04653855230000001,3.2159999999999997e-07,0.0042318449,0.0087640106,1.529e-06,0.0013206936,4.655e-07
6.4,1.2,3.5,-4.566135050620001,-4.456054163769999,-2.4419796459520002,-2.16924788828,1.6639,1.7297,1.9582,2.0629,2.8241,2.9148,3.0914,3.1139,3.2016,3.2082,0.0412934465,1.6230000000000002e-07,6.477e-07,0.046725098799999996,2.848e-07,0.0056376951,0.0107349505,1.3737e-06,5.806e-07,0.0017065220999999998
6.4,1.4,3.5,-4.544306627080001,-4.48154514753,-2.443371745364,-2.175303357458,1.6865,1.7145,1.9734,2.0388,2.8466,2.9023,3.1033,3.1194,3.2103,3.2184,0.0423186828,2.24e-07,6.049e-07,0.0472277798,2.495e-07,0.0066373247,0.0121982609,1.0693e-06,7.453e-07,0.0102458647
6.4,1.6,3.5,-4.5240128870200005,-4.50689191458,-2.444049291794,-2.183500580833,1.7004,1.7082,1.9881,2.0146,2.8674,2.889,3.1107,3.1183,3.2118,3.2182,2.831e-07,0.0407086169,5.671999999999999e-07,0.0486620567,2.158e-07,0.0070292428,0.012886862399999999,7.101000000000001e-07,0.010067131600000001,8.619999999999999e-08
