x-dis,y-dis,z-dis,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
3.5,0.0,3.5,-6.32892310765,-6.127661886169999,-5.98255810735,-5.47250442013,-4.67010441425,-4.251037865690002,-2.2624668485540003,-2.216389337602,-0.8630295270849999,-0.7481173804500001,-0.380512796158,-0.2104884514821,1.5858,1.5941,2.0172,2.0892,2.7276,2.7569,2.9019999999999997,2.9874,3.2621,3.2962,0.0117477203,1.264e-07,2.0309999999999999e-07,0.045835988,2.939e-07,0.0002531658,1.4059e-06,0.00039705830000000004,0.00025731939999999997,6.002e-07
3.6,0.0,3.5,-6.29433830795,-6.1590276600600005,-5.989314524159999,-5.476221401750001,-4.650594342350001,-4.27477920144,-2.29856674003,-2.180452166112,-0.874946181043,-0.7404088612469999,-0.35003490740899995,-0.2392258350163,1.5767,1.6487,1.969,2.1021,2.6991,2.8002,2.9137,3.0146,3.1912,3.2004,0.0124791905,1.0810000000000001e-07,2.254e-07,0.045087250499999995,3.493e-07,0.0006618436000000001,1.4216999999999999e-06,0.0001576301,1.92e-08,0.026055744300000003
3.7,0.0,3.5,-6.25885011301,-6.19046962391,-5.993643746529999,-5.48242544135,-4.62778361254,-4.299864745770002,-2.333416027734,-2.147378376583,-0.8828963312620001,-0.736842354798,-0.31890151289700003,-0.268141312582,1.5692,1.6917,1.9292,2.1097,2.6736,2.843,2.9299,3.0349,3.2111,3.3085,0.0130212647,7.480000000000001e-08,2.74e-07,0.0443070093,3.9310000000000005e-07,0.0012871356,1.4241e-06,2.4957e-05,0.000266905,1.8756099999999998e-05
3.8,0.0,3.5,-6.2232748438300005,-6.22156056973,-5.99537978919,-5.49087980584,-4.60225997594,-4.32584280106,-2.366244376749,-2.118139391005,-0.886409776846,-0.7373789498019999,-0.29674329567299995,-0.28804158591999995,1.5637,1.7091,1.9119,2.1116,2.6516,2.8837,2.9508,3.0453,3.1912,3.193,0.0133858994,3.54e-08,3.3909999999999996e-07,0.043504840499999996,4.2600000000000003e-07,0.0021203359,1.4144e-06,6.439199999999999e-06,0.0003580343,5.775e-07
3.9,0.0,3.5,-6.2520392748,-6.188257394,-5.99523013034,-5.501056607640001,-4.57518532944,-4.35237595463,-2.3968409041500003,-2.0934723472409997,-0.8855452929069999,-0.7417383760490001,-0.325056573237,-0.25825645438230005,1.5604,1.6924,1.9254,2.108,2.6328,2.9205,2.9760000000000004,3.0441,3.178,3.2715,0.0136022506,3.24e-08,3.7729999999999997e-07,0.0426814605,4.501e-07,0.0031236825,1.3944e-06,0.0001104833,0.0005517121,5.4586099999999996e-05
4.0,0.0,3.5,-6.28155472109,-6.15461680559,-5.9928600783700015,-5.51279258255,-4.54683178004,-4.37912951487,-2.424477179498,-2.073822956557,-0.8802011114270001,-0.749576690291,-0.352629719761,-0.2302051886486,1.5594,1.6545,1.9572,2.0988,2.6180000000000003,2.9516,3.0055,3.0332,3.1154,3.1704,0.0136698461,5.51e-08,3.975e-07,0.0419091059,4.652e-07,0.0041027387,1.3644e-06,0.0004778116,1.0683e-06,0.000821067
4.1,0.0,3.5,-6.30977221699,-6.1230496725200005,-5.98838936036,-5.52580746036,-4.51777891565,-4.4057932798,-2.4486664033700003,-2.059382510174,-0.8706634889700001,-0.7603630117710001,-0.379150084302,-0.20449755329520003,1.5612,1.6093,1.9938,2.0846,2.6074,2.9727,3.0205,3.0387,3.0705,3.1655,0.0135846663,7.990000000000001e-08,4.2159999999999996e-07,0.0412526146,4.726e-07,0.0040017884,0.0021208827,1.3236000000000001e-06,1.2876e-06,0.0010200832
4.2,0.0,3.5,-6.336416934430001,-6.094184561960001,-5.981951308740001,-5.53980464444,-4.488570950270001,-4.43207609493,-2.468982456204,-2.050128967425,-0.857505482878,-0.773555575452,-0.404325696049,-0.18164421152899998,1.5638,1.5658,2.0288,2.0659,2.6012,2.9727,3.0205,3.0283,3.0749,3.1624,1.0230000000000001e-07,0.0133246746,4.51e-07,0.0407637767,4.726e-07,0.0013807982,0.0063959414,1.4079e-06,1.2682e-06,0.0010183078
4.3,0.0,3.5,-6.361265745669999,-6.0685765721900005,-5.97376905125,-5.55456100705,-4.4597520979,-4.4577385061,-2.48503622499,-2.0458122619770003,-0.8414634146929999,-0.7885984667329999,-0.427898597566,-0.16204839871329998,1.521,1.5732,2.0438,2.0602,2.5997,2.9567,2.9908,3.0308,3.1131,3.1611,1.2199999999999998e-07,0.0128821633,0.0405856804,4.834e-07,4.6490000000000004e-07,0.0002766572,1.4578999999999998e-06,0.009142056400000001,1.1787e-06,0.0008299497
4.4,0.0,3.5,-6.384139060090001,-6.046671958689999,-5.96408204205,-5.5698833522200015,-4.482570990919999,-4.4318094300699995,-2.496516147213,-2.046041648178,-0.823376190296,-0.8049667912109999,-0.44960620559799996,-0.1459711743039,1.4828,1.5836,2.0192,2.0869,2.6029,2.9384,2.9595,3.04,3.1501,3.1536,1.395e-07,0.012197437299999999,0.040734789900000005,5.158e-07,4.51e-07,3.9461999999999996e-05,1.4465e-06,0.0107927154,2.1370000000000001e-07,2.8055e-06
4.5,0.0,3.5,-6.40486272921,-6.0288108552100015,-5.9530481032,-5.5855812050499996,-4.50639667984,-4.4051375019300005,-2.5031922924580003,-2.0503591699470003,-0.822176198426,-0.804183667265,-0.469168522042,-0.1335226872144,1.4503,1.5968,1.9932,2.1089,2.611,2.9215,2.9353,3.0464,3.1103,3.1634,1.549e-07,0.0112146718,0.0413282896,5.462e-07,4.2909999999999994e-07,8.470000000000001e-08,1.3857e-06,0.0119060153,1.805e-06,0.0003629536
4.6,0.0,3.5,-6.423251720270001,-6.01521638949,-5.94086315174,-5.601534838459999,-4.529060471869999,-4.38012542649,-2.504909015521,-2.0582774836469997,-0.839735263136,-0.7847389010450001,-0.486319970466,-0.124685413754,1.4244,1.6124,1.9669999999999999,2.1261,2.6239999999999997,2.9076,2.9184,3.0503,3.0706,3.1658,1.678e-07,0.0098517317,0.04246257639999999,5.73e-07,3.977e-07,2.54068e-05,1.2831999999999998e-06,0.0125425727,1.8319e-06,0.0002307669
4.7,0.0,3.5,-6.4391509322800005,-6.00600556754,-5.927627867260001,-5.617621804300001,-4.55042087137,-4.3570915689400005,-2.501705227703,-2.0693497895840003,-0.8572298384870001,-0.7659082803239999,-0.500829804134,-0.1193661028538,1.4056,1.6298,1.942,2.1387,2.6416,2.897,2.909,3.0332,3.0524,3.1681,1.782e-07,0.008020748199999999,0.044265778799999995,5.944e-07,3.5759999999999997e-07,7.52225e-05,1.1458e-06,1.8441999999999999e-06,0.012795826299999999,0.0001675575
4.8,0.0,3.5,-6.452432474949999,-6.00115117866,-5.913459255769999,-5.63378223903,-4.57039896731,-4.3363216416300014,-2.4937188872530003,-2.083143437628,-0.874261559831,-0.74840853494,-0.5124746231990001,-0.11739479648160002,1.3941,1.6479,1.9198,2.147,2.6636,2.89,2.9068,2.9989999999999997,3.0532,3.1699,1.8600000000000002e-07,0.0056700367000000005,0.046768217699999996,6.113e-07,3.064e-07,0.00012818309999999998,9.808e-07,1.8628e-06,0.0127133305,0.0001480185
4.9,0.0,3.5,-6.4629439683599985,-6.0005362168400005,-5.89841173867,-5.6499453948300005,-4.588907685450001,-4.3180278880200005,-2.4812000605040003,-2.099306865535,-0.8904804975659999,-0.7328889121950001,-0.5210326604559999,-0.1185575096926,1.3901,1.6647,1.9025,2.1511,2.6892,2.8865,2.9114,2.9691,3.053,3.1710000000000003,1.913e-07,0.0029758838,0.04978334139999999,6.22e-07,2.412e-07,0.0001705298,7.968e-07,1.8946e-06,0.0123492042,0.0001580682
5.0,0.0,3.5,-6.470513985100001,-6.00396748611,-5.88255062164,-5.66609222421,-4.6059062097400005,-4.302422551569999,-2.4644657521110003,-2.117524157078,-0.905526109917,-0.719866959603,-0.5263128967909999,-0.12262093794500001,1.3935,1.6775,1.8929,2.1512,2.7173,2.8862,2.9223,2.9448,3.0519,3.1714,1.939e-07,0.0006806021,0.052565107699999995,6.263e-07,1.607e-07,0.0001912909,6.052e-07,1.9421e-06,0.011747635900000001,0.0001890736
5.1,0.0,3.5,-6.4749901452500005,-6.01117832161,-5.8659003943100005,-5.68220640075,-4.621345560919999,-4.28964984899,-2.4439717412990003,-2.1375365385,-0.91905499785,-0.7097883884299999,-0.528185265058,-0.1293549603489,1.4040000000000001,1.6835,1.8939,2.1476,2.7461,2.8887,2.9279,2.9386,3.0501,3.1711,1.9429999999999999e-07,6.23612e-05,0.0538211108,6.247999999999999e-07,7.25e-08,0.00018254580000000002,1.9954e-06,4.198e-07,0.0109483557,0.0002329749
5.2,0.0,3.5,-6.47623367424,-6.0218421949400005,-5.8484937095200005,-5.6982743190999985,-4.63516315438,-4.27981590201,-2.420303874439,-2.159110269888,-0.930724850759,-0.7029914276770001,-0.5265760242599999,-0.1385232791855,1.4211,1.6815,1.9061,2.1405,2.772,2.8936,2.9216,2.9595,3.0475,3.1702,1.9260000000000002e-07,0.0016785360999999998,0.052968555,6.186e-07,2.13e-08,0.00014533299999999999,2.0078e-06,2.564e-07,0.0099874364,0.00027957599999999997
5.3,0.0,3.5,-6.474086750010001,-6.03558631951,-5.8303958729500005,-5.7142987003300005,-4.64732089514,-4.2729778531,-2.39414160271,-2.1819969175510003,-0.940174582655,-0.699680701808,-0.5214593242319999,-0.14989049468909998,1.4443,1.6729,1.9277,2.13,2.7910000000000004,2.9002,2.9298,2.9841,3.0442,3.1555,1.893e-07,0.0045840748999999995,0.0509479825,6.082e-07,9.44e-08,8.659069999999999e-05,1.8856e-06,1.294e-07,0.008901144599999999,7.762000000000001e-07
5.4,0.0,3.5,-6.468383387289999,-6.0520351876600005,-5.8117130063300015,-5.73024417053,-4.65776164073,-4.269146586540001,-2.36626151949,-2.205951857296,-0.947062699253,-0.699948182989,-0.5128825115919999,-0.16323951989510002,1.4727,1.6604,1.9554,2.1163,2.802,2.9077,2.9528,3.0115,3.0403,3.1177,1.852e-07,0.0076112513,0.0489074205,5.95e-07,2.79e-07,2.71622e-05,1.6272e-06,4.85e-08,0.0077237024,8.273999999999999e-07
5.5,0.0,3.5,-6.4590174643500005,-6.0708078495899995,-5.7925866052999995,-5.746099845419999,-4.66643641189,-4.26828400735,-2.337479401565,-2.230691281522,-0.951038182523,-0.703759041524,-0.500999871009,-0.17836129499540002,1.5053,1.6461,1.9863,2.0998,2.8086,2.9156,2.9861,3.0363,3.0409,3.0791,1.806e-07,0.0102279386,0.0473470937,5.795e-07,4.416e-07,5.6e-08,1.3137e-06,0.0064745311,1.33e-08,1.0329e-06
5.6,0.0,3.5,-6.4460189129600005,-6.091496144800002,-5.77318265513,-5.76185211965,-4.673255413310001,-4.2702948780800005,-2.308645039096,-2.255933559484,-0.951775320386,-0.710968244382,-0.4860728973100001,-0.1950460799144,1.541,1.6316,2.0181,2.0807,2.8148,2.9229,3.0218,3.0323,3.0435,3.1606,1.7640000000000002e-07,0.012344223400000002,0.0463211103,5.637e-07,5.16e-07,4.7017399999999995e-05,3.989e-07,0.0051727377,1.9226e-06,0.0002670546
5.7,0.0,3.5,-6.429518344480001,-6.113694633860001,-5.77746017717,-5.753705236070001,-4.678115244330001,-4.27503770309,-2.281393250939,-2.280615569133,-0.949004726912,-0.721336337403,-0.468441996352,-0.21306598503960003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8,0.0,3.5,-6.409695349530001,-6.1370414144600005,-5.7928832019300005,-5.7344155708399995,-4.68091794643,-4.28235193925,-2.306705732507,-2.254201054215,-0.942512525999,-0.734535703759,-0.448512335458,-0.23218332490649998,1.605,1.6172,2.0363,2.0771,2.8302,2.9334,2.9684,3.0266,3.108,3.1529,0.015344048600000002,1.683e-07,5.388e-07,0.04541599,3.454e-07,0.0004641052,1.2169e-06,0.0025660341,1.3187e-06,0.0001114784
5.9,0.0,3.5,-6.38688189865,-6.16119907392,-5.808050446109999,-5.71559937179,-4.68155467681,-4.292000853469999,-2.331453319943,-2.230141625382,-0.932224432436,-0.7501919242180001,-0.42678676836400004,-0.2521714615948,1.5942,1.655,2.012,2.1015,2.8333,2.9356,2.9465,3.0254,3.1466,3.1487,0.0163861065,1.628e-07,5.352000000000001e-07,0.0452765221,1.131e-07,0.0007743047,1.5633000000000001e-06,0.0014422604999999998,1.1972e-06,3.8464200000000004e-05
6.0,0.0,3.5,-6.3616603008200014,-6.18585468919,-5.82292381473,-5.69760221481,-4.67997373514,-4.30378852871,-2.355258056624,-2.209081087796,-0.918266431764,-0.7679082667739999,-0.403886515351,-0.27283325358300003,1.5855,1.6907,1.9874,2.1212,2.8235,2.9358,2.9443,3.0255,3.1445,3.1823,0.0172033397,1.526e-07,5.428e-07,0.0451935979,2.65e-08,0.0010427488,1.7197999999999998e-06,0.0006041942,1.0345e-06,1.0908e-06
