x-dis,y-dis,z-dis,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
0.0,0.0,3.6,-6.34416654179,-6.156151489070001,-5.768790848150001,-5.44168830238,-4.9345243915,-4.3105830405,-2.142557184757,-1.5439326690369999,-0.661248853342,-0.625305967605,-0.0740867089435,-0.028947831088,1.6999,2.2265,2.5121,2.7617,2.9252,2.9668,3.1729,3.2276,3.3611,3.4655,3.3359999999999997e-07,4.90332e-05,0.0887078941,2e-10,1.373e-07,6.17e-08,3.6210999999999996e-05,1.18183e-05,1.987e-07,1.325e-07
0.4,0.0,3.6,-6.30744570214,-6.13032037156,-5.80679603284,-5.47070851393,-4.90466609039,-4.34360594602,-2.099622781762,-1.591024594885,-0.631333681869,-0.586532896961,-0.1112885249267,-0.0724642165346,1.7766,2.2245,2.5114,2.8364,2.8605,3.0262,3.2437,3.2924,3.3469,3.4772,3.161e-07,0.0004626042,0.08783034199999999,0.0008266728,2.002e-07,1.1200000000000001e-08,0.0001384912,1.12805e-05,3.515e-07,1.174e-07
0.8,0.0,3.6,-6.210382414170001,-6.0634147024,-5.907478343909999,-5.5478807802,-4.82356459904,-4.432979490170001,-1.984728594189,-1.7133568273030002,-0.5508966758130001,-0.489225801119,-0.2046630215619,-0.184189772514,1.9803,2.2171,2.5178,2.6642,3.0329,3.2085,3.3067,3.4186,3.4396,3.469,2.641e-07,0.0029070879,0.0855664408,2.503e-07,0.0014977118,8.820000000000001e-08,2.949e-07,0.00039035620000000003,0.0023021601,9.2533e-06
